UittredepuntenID,VakID,X_uittrede,Y_uittrede,Som_Scenariokans,P_f_dsn,Max_P_f_i,Max_L_kwelweg,P_f_dsn_max_ratio,Max_P_f_i_max_ratio,Max_L_kwelweg_max_ratio,Max_BenodigdeKwelweglengte,Categorie,Categorie_max_ratio
1,1,154135.04320000112,441579.29850000143,0.9999999999999999,1.2501775501473398e-42,4.4433916582785335e-42,135.03801455905804,1.1305282739231757e-32,3.2300807823837373e-32,59.48852811385965,1.2721536666897384,Iv,Iv
2,1,154111.5614,441565.40790000185,0.9999999999999999,5.576077811652859e-39,1.4741578122873574e-38,137.0709653526199,6.930238037383279e-30,1.9800680098385612e-29,63.508003244479866,1.9224840678550492,Iv,Iv
3,1,154144.96510000154,441556.80889999866,0.9999999999999999,1.0280259939093171e-08,2.9325220885200662e-08,159.59800911499565,6.168453758899006e-07,1.7561410897635046e-06,108.61273586099762,123.15233869040038,Iv,IIv
4,1,154111.8920999989,441501.5769999996,0.9999999999999999,6.257170698460714e-09,1.7813127010412936e-08,191.9002027531987,2.4876777889940136e-08,7.087604690563511e-08,173.13610555537306,142.999148677865,Iv,Iv
5,1,154075.1810999997,441538.2879999988,0.9999999999999999,4.436375465671922e-21,9.318528597339225e-21,141.03168025822148,2.726799539827255e-15,7.790852471247996e-15,71.40406352285967,17.263679504251122,Iv,Iv
6,1,154061.95190000162,441534.31920000166,0.9999999999999999,3.364514989544671e-45,9.1774352121566e-45,137.04929515562867,2.6756343763398167e-35,7.644669646160766e-35,63.4486716485655,1.0301171851302333,Iv,Iv
7,1,154064.5976999998,441511.8295999989,0.9999999999999999,1.432056742003861e-09,4.066070340101676e-09,157.2720917685742,1.5557946470323683e-09,4.066070340101676e-09,103.90284105631373,106.00908661299452,Iv,Iv
8,1,154072.20450000092,441482.7254000008,0.9999999999999999,2.7223401487501657e-08,7.738066500535192e-08,185.74810416776765,1.6841774984620456e-07,4.78375993783511e-07,160.8637172631255,154.53322533684843,IIv,IIv
9,1,154042.43879999965,441518.77490000054,0.9999999999999999,6.702343567387568e-28,1.2456415278484456e-27,139.26370263831814,9.147126515987988e-21,2.6134646519223334e-20,67.89644809398476,6.977371015886751,Iv,Iv
10,1,154015.98050000146,441502.23849999905,0.9999999999999999,4.732610710328797e-33,8.631947620475303e-33,139.00326332199998,3.983206861015522e-25,1.1380590982147507e-24,67.403584377629,3.784122876646425,Iv,Iv
11,1,154028.2175000012,441515.1369000003,0.9999999999999999,7.557575455354515e-95,2.2370440896573928e-94,134.46045521200344,8.840584347535417e-79,1.5970153818350709e-78,58.30073825324347,1.0,Iv,Iv
12,1,154048.79729999974,441533.6336000003,0.9999999999999999,2.761652506443694e-93,1.3081505116424459e-92,130.37091461571555,4.5872031626014386e-76,8.497427458187085e-76,50.10005518575284,1.0,Iv,Iv
13,1,154098.3321999982,441561.1083999984,0.9999999999999999,8.759598779064095e-95,2.725552426928227e-94,134.27456353156583,1.1904458922099225e-78,2.153102781901304e-78,57.88906906863477,1.0,Iv,Iv
14,1,154004.4048999995,441499.2619000003,0.9999999999999999,1.068252428144895e-71,4.046797604893664e-71,135.46222963305368,1.6191350447364594e-58,4.626100127818224e-58,60.33074325846031,1.0,Iv,Iv
15,1,153989.191300001,441491.98580000177,0.9999999999999999,2.1279936906436982e-58,8.802197196336073e-58,134.14999802820236,2.437672629698876e-46,6.9647789419917595e-46,57.71988228098449,1.0,Iv,Iv
16,1,153991.83720000088,441475.1185999997,0.9999999999999999,3.6157282962947186e-12,1.8078594897117008e-11,150.93210556477638,3.7153105436323396e-12,1.8078594897117008e-11,91.29448814253388,78.02861791516527,Iv,Iv
17,1,154003.41270000115,441470.4884000011,0.9999999999999999,2.158429110067457e-08,6.155763146446261e-08,159.61333020048616,2.145104418125016e-06,6.108281067684594e-06,108.64447038596913,130.3164566585141,Iv,IIIv
18,1,154020.61070000008,441488.0170999989,0.9999999999999999,6.0208783066848766e-12,3.010328404129112e-11,153.53833211040921,6.4948830596445895e-12,3.010328404129112e-11,96.47757601629746,83.89223177507743,Iv,Iv
19,1,153870.12860000134,441412.6107000001,0.9999999999999999,4.868484152438746e-09,1.3854268287462194e-08,196.7040614574001,1.2742886393904912e-08,3.6300003180684084e-08,183.28511332289438,143.94206711444502,Iv,Iv
20,1,153866.82129999995,441441.0533999987,0.9999999999999999,1.916820777744203e-08,5.463407755240494e-08,168.7064655140648,6.215973778806611e-07,1.7698332733967169e-06,127.29391231356871,136.55807168353024,Iv,IIv
21,1,153866.82129999995,441464.8660000004,0.9999999999999999,6.351408467410222e-12,3.175703072332213e-11,145.01032486580235,6.476040261969421e-12,3.175703072332213e-11,79.88733566535385,73.79106349439343,Iv,Iv
22,1,153873.1052000001,441475.1185999997,0.9999999999999999,3.4466232204869554e-33,1.2193799669586987e-32,134.22604742629164,1.813278933288328e-24,5.1807969452844805e-24,58.27343224399711,3.4147021521578367,Iv,Iv
23,1,153894.2718999982,441474.4571999982,0.9999999999999999,6.404083170914501e-44,2.5847113609537578e-43,133.5309151313525,1.5279683277981664e-33,4.3656237935613495e-33,56.765404398267336,1.0842799793803861,Iv,Iv
24,1,153919.73809999973,441476.44150000066,0.9999999999999999,3.3121450634159476e-94,1.3368634654075806e-93,132.51496743396734,1.3347548749665207e-77,2.4379138845012825e-77,54.62564491401605,1.0,Iv,Iv
25,1,153939.0417000018,441481.4079999998,0.9999999999999999,2.119456255824671e-93,9.922046736425841e-93,130.55262563568232,2.9739750151178573e-76,5.49967476987936e-76,50.63899915290261,1.0,Iv,Iv
26,1,153929.2520999983,441459.8443999998,0.9999999999999999,8.758650086864034e-12,4.379060297338639e-11,150.36518091665,9.631141802698106e-12,4.379060297338639e-11,90.31342482058976,82.6533359423364,Iv,Iv
27,1,153969.20419999957,441467.6495999992,0.9999999999999999,4.821753127339283e-12,2.4108675569229226e-11,150.5869490175195,5.0050026272013866e-12,2.4108675569229226e-11,90.64770221998347,79.10305384994903,Iv,Iv
28,1,153965.6323999986,441486.43510000035,0.9999999999999999,7.514165524864127e-94,3.3156219701909738e-93,131.66827634656045,5.403276966380611e-77,9.92465315761213e-77,52.801786054917144,1.0,Iv,Iv
29,1,153984.0208999999,441476.3808999993,0.9999999999999999,4.222957379297985e-13,1.0555725656060852e-12,147.18271017746383,1.537955644110405e-11,4.379060297338639e-11,83.80806565396847,56.15545053859895,Iv,Iv
30,1,153827.12269999832,441478.7622000016,0.9999999999999999,1.5738105372550333e-14,3.087501449253853e-14,137.76151034374266,1.533288604358374e-11,4.379060297338639e-11,65.6866451886316,41.374433672149046,Iv,Iv
31,1,153823.41849999875,441482.20169999823,0.9999999999999999,4.831950396506005e-13,1.2306640782790205e-12,135.2408118988589,1.5572843861145738e-11,4.379060297338639e-11,60.67966013220546,49.711215889554865,Iv,Iv
32,1,153805.29450000077,441489.47780000046,0.9999999999999999,1.4546842447304577e-12,7.2734212236522395e-12,132.20691619341198,1.4546870714191742e-12,7.2734212236522395e-12,54.78283130394129,52.44907788296441,Iv,Iv
33,1,153838.63210000098,441439.47140000015,0.9999999999999999,3.074133850879466e-09,8.753433802263299e-09,173.44326033155596,1.5212561579154497e-08,4.32540163347437e-08,136.94583472669314,122.53089185722168,Iv,Iv
34,1,153800.39970000088,441380.2047000006,0.9999999999999999,1.9634236534428016e-09,5.5823639563191075e-09,239.7182578914365,1.9634236534428016e-09,5.5823639563191075e-09,239.7182578914365,164.67892845348354,Iv,Iv
35,1,153800.79659999907,441364.3295999989,0.9999999999999999,5.307604756361933e-10,1.5114649770111786e-09,255.08975534411044,5.307604756361933e-10,1.5114649770111786e-09,255.08975534411044,160.13427389285732,Iv,Iv
36,1,153876.33529999852,441354.1431999989,0.9999999999999999,1.8916152085697238e-09,5.369056374388743e-09,254.31409372422704,1.8916152085697238e-09,5.369056374388743e-09,254.31409372422704,174.3259867089089,Iv,Iv
37,1,153885.3311999999,441354.5399999991,0.9999999999999999,3.7426734515597766e-09,1.0595058978349996e-08,253.38694463042754,3.7426734515597766e-09,1.0595058978349996e-08,253.38694463042754,182.29303030865827,Iv,Iv
38,1,153842.2039999999,441355.5984000005,0.9999999999999999,7.982939956220632e-11,2.2448459474199514e-10,256.0392963952787,7.982939956220632e-11,2.2448459474199514e-10,256.0392963952787,158.3318082478098,Iv,Iv
39,1,153767.45899999887,441396.4765999988,0.9999999999999999,1.1871615842212764e-09,3.381607377261992e-09,231.25587619544189,1.1871615842212764e-09,3.381607377261992e-09,231.25587619544189,153.29814227780778,Iv,Iv
40,1,153766.53299999982,441409.7058000006,0.9999999999999999,1.1217486707768833e-09,3.197541737104889e-09,218.57829134280752,1.1217486707768833e-09,3.197541737104889e-09,218.57829134280752,144.21993887277517,Iv,Iv
41,1,153716.26209999993,441495.0340999998,0.9999999999999999,4.608894523436974e-08,1.314850234193558e-07,146.2746669994187,1.4101233589965424e-05,3.995929896572338e-05,83.5682913599499,126.60737107957317,IIv,IVv
42,1,153717.71730000153,441455.6110999994,0.9999999999999999,4.674803875409625e-09,1.331412489353498e-08,184.42880663917822,3.176443882194771e-08,9.058091649173722e-08,159.841485935195,134.46111418956886,Iv,IIv
43,1,153749.3350000009,441492.52050000057,0.9999999999999999,1.595790813483497e-08,4.5552553289756264e-08,141.53866317966438,9.815194757033517e-07,2.654978741822119e-06,73.91771133008542,112.75969894514753,Iv,IIIv
44,1,153701.31309999898,441503.3685000017,0.9999999999999999,1.3442035849679254e-08,3.837021011063292e-08,140.2915335327193,7.092341387416903e-07,1.8875805682341465e-06,71.63415860724807,110.29106317803654,Iv,IIv
45,1,153683.4624999985,441374.4807999991,0.9999999999999999,2.8486470434356307e-09,8.06009457960689e-09,263.42761293326055,2.8486470434356307e-09,8.06009457960689e-09,263.42761293326055,185.9025141489651,Iv,Iv
46,1,153578.95190000162,441404.9079999998,0.9999999999999999,9.141039076854705e-09,2.5961350694631794e-08,209.1780162011092,9.66555072602924e-09,2.7459955406559034e-08,208.31633804146728,160.40508842305607,Iv,Iv
47,1,153613.6785000004,441388.37150000036,0.9999999999999999,2.5122733160049426e-10,7.133443885957399e-10,233.4720354532743,2.5122733160049426e-10,7.133443885957399e-10,233.4720354532743,148.89350292957215,Iv,Iv
48,1,153648.07440000027,441396.9704999998,0.9999999999999999,7.927603167893067e-11,2.2275196040679758e-10,233.2560603474705,7.927603167893067e-11,2.2275196040679758e-10,233.2560603474705,147.7166766498588,Iv,Iv
49,1,153670.5639999993,441502.8040000014,0.9999999999999999,1.9290869444970617e-09,5.486557606623453e-09,135.76925170239878,8.876117959493793e-09,1.3846708101330127e-08,62.30093417257876,92.20925244742692,Iv,Iv
50,1,153635.50670000166,441456.1711000018,0.9999999999999999,9.658037957100137e-09,2.753138735882503e-08,172.80711345703872,2.0593377276129658e-07,5.870447048369797e-07,136.0036417462047,132.8439785116802,Iv,IIv
51,1,153594.82690000162,441486.5982000008,0.9999999999999999,1.5164418281660797e-09,4.307625801314663e-09,133.635529394003,8.498714286886817e-09,1.7088469261206102e-08,57.367804100189936,89.12643992932402,Iv,Iv
52,1,153624.92330000177,441493.8742999993,0.9999999999999999,3.155340096651559e-08,9.01155194800211e-08,133.69803093817524,4.15918109111696e-06,9.546899912294695e-06,57.71974533404119,112.23548630723505,IIv,IVv
53,1,153654.6889999993,441499.8273999989,0.9999999999999999,1.4151004815428174e-08,4.0398663185409475e-08,134.943990007325,7.540126446733334e-07,1.6562998756700812e-06,60.483422459516504,106.44536360427495,Iv,IIv
54,1,153681.8088000007,441318.5874999985,0.9999999999999999,1.546104116809797e-11,4.379060297338639e-11,317.3133000198552,1.546104116809797e-11,4.379060297338639e-11,317.3133000198552,169.0367220935268,Iv,Iv
55,1,153579.94409999996,441330.1629999988,0.9999999999999999,2.089751446355871e-10,5.939947081920839e-10,282.0315601614551,2.089751446355871e-10,5.939947081920839e-10,282.0315601614551,169.0367220935268,Iv,Iv
56,1,153603.75659999996,441324.5406000018,0.9999999999999999,9.383820230324676e-13,1.5591035546924013e-12,293.0932096796004,9.383820230324676e-13,1.5591035546924013e-12,293.0932096796004,169.0367220935268,Iv,Iv
57,1,153928.15300000086,441357.88369999826,0.9999999999999999,3.845435758803151e-09,1.088886043598528e-08,251.16929044958758,3.845435758803151e-09,1.088886043598528e-08,251.16929044958758,181.04073008440838,Iv,Iv
58,1,153948.3935999982,441360.2650000006,0.9999999999999999,7.11336237739012e-09,2.0075435605441766e-08,251.6796264068085,7.11336237739012e-09,2.0075435605441766e-08,251.6796264068085,189.63678672248955,Iv,Iv
59,1,153976.57180000097,441363.0430999994,0.9999999999999999,4.7376795080059176e-09,1.3396226828015076e-08,253.33689231931396,4.7376795080059176e-09,1.3396226828015076e-08,253.33689231931396,185.36297577831465,Iv,Iv
60,1,154092.06269999966,441419.79630000144,0.9999999999999999,1.2061833427496584e-09,3.4303213060828958e-09,249.19863670217325,1.2061833427496584e-09,3.4303213060828958e-09,249.19863670217325,165.50078998979612,Iv,Iv
61,1,154180.56599999964,441450.3557999991,0.9999999999999999,8.732873853746835e-10,2.483379094057474e-09,258.0493000621743,8.732873853746835e-10,2.483379094057474e-09,258.0493000621743,167.63946329284053,Iv,Iv
62,1,153734.34530000016,441502.9197999984,0.9999999999999999,5.621702450137734e-10,1.5811607987840836e-09,134.64285854634767,2.326650456216432e-09,5.041388731555091e-09,60.22545505368708,87.12811349197615,Iv,Iv
